factory_name,address,source,extraction_date,page_number,worker_count,latitude,longitude,geocoding_method,geocoding_confidence,identified_brands,brand_confidence,num_brands,primary_brand,max_confidence,brand_tier
"TEMAKAW FASHION LTD 8081 2,Begum Rokeya","Sharoni ,Shewra para,MirpurDhaka Dhaka 1216 2 8055422 17, Yes No 10,1,,2,3,4,5,6 1007 1 TEX ANDERSON HOUSE 509 4th FLOOR DHAKA BANGLADESH DHAKA Dhaka No No 1",Accord 2013,2025-09-22T21:15:09.972780,29,,23.8223,90.3654,exact_location,high,['Uniqlo'],[1.0],1,Uniqlo,1.0,premium_fast_fashion
Thanbee Print World Ltd.  Parkway Packaging ,,Accord 2013,2025-09-22T21:15:10.056503,30,,23.8103,90.4125,default,very_low,['PVH'],[1.0],1,PVH,1.0,other_brands
"The Dacca Dyeing Garments Ltd 2 New Eskaton Road, Moghbazar, Dhaka1000,",BangladeshDhaka 1.71E09 1 17 No No No 1245 1 The Delta Composite Knitting Zarun South Kashimpur Gazipur Dhaka No No 5,Accord 2013,2025-09-22T21:15:10.057036,30,,24.0234,90.3912,exact_location,high,['C&A'],[1.0],1,C&A,1.0,value_fast_fashion
"THE FINERY LİMİTED 2 D, Darus Salam Road, Mirpur  1, Dhaka Dhaka Dhaka 1216 2 9014515 16, No No Not Shared 1200 1","The Immaculate App. Ltd. C 35, Section7,Mirpur CA, Dhaka Dhaka Dhaka 1216 2 8052185 1 16, Yes Yes 12, 350 1",Accord 2013,2025-09-22T21:15:10.057212,30,,23.8223,90.3654,exact_location,high,['C&A'],[1.0],1,C&A,1.0,value_fast_fashion
"The Overses Apparels  Embriodery Ltd Tamanna Complex, CB288 Kachukhet, Dhaka",cant. Dhaka2 9870509 No No 1,Accord 2013,2025-09-22T21:15:10.057448,30,,23.8103,90.4125,district,low,['C&A'],[1.0],1,C&A,1.0,value_fast_fashion
"Titas Knitwear Ltd Holding94,BlockE, Word1, Kalma Zinzira","Road , Zinzira , Savar , DhakaDhaka Dhaka 1341 2 7743389 1 12, No No 12, 450 1",Accord 2013,2025-09-22T21:15:10.057942,30,,23.856758351637723,90.2632525167737,area_match,medium,['PVH'],[1.0],1,PVH,1.0,other_brands
"Titash Garments Int Ltd. Titash Garments Int Ltd. H79, BlockD 5th floor","CA, BaDhaka 1213 8826667 1 18 No No 11 390 1",Accord 2013,2025-09-22T21:15:10.058042,30,,23.8103,90.4125,district,low,"['C&A', 'PVH']","[1.0, 1.0]",2,C&A,1.0,value_fast_fashion
"Trade sweater Factory ltd Block d,holding Ga Dhaka Dhaka 1207 NA No No NA 1",,Accord 2013,2025-09-22T21:15:10.059151,30,,23.8103,90.4125,default,very_low,['PVH'],[1.0],1,PVH,1.0,other_brands
"TROPICA GARMENTS LTD 63 Mohakhali CA, Dhaka Dhaka Dhaka 1212 2 8881330 No No 1",,Accord 2013,2025-09-22T21:15:10.127822,31,,23.8103,90.4125,default,very_low,['C&A'],[1.0],1,C&A,1.0,value_fast_fashion
"TS Sweater Ltd. 50, Begum Rokeya Sarani, Mirpur, Dhaka Dhaka Dhaka 1216 2 8051350 No No 1000 1",,Accord 2013,2025-09-22T21:15:10.128160,31,,23.8223,90.3654,exact_location,high,['Uniqlo'],[1.0],1,Uniqlo,1.0,premium_fast_fashion
"TShirt Fashion Ltd. 74,North Masdair, Ketab Nagar, Fatullah,",Nara yangonjNarayanganj Dhaka 1400 2 1711400747 No No 200 1,Accord 2013,2025-09-22T21:15:10.128188,31,,23.617827458330787,90.53720069576525,area_match,medium,['Walmart'],[1.0],1,Walmart,1.0,mass_market
"TUSUKA FASHION LTD Plot 10, BlockB, Tongi Mill Gate, Gazipur Gazipur Dhaka 1710 2 9802080 1 10 No No NA 850 4",,Accord 2013,2025-09-22T21:15:10.128891,31,,23.8103,90.4125,default,very_low,['PVH'],[1.0],1,PVH,1.0,other_brands
