factory_name,address,source,extraction_date,page_number,worker_count,latitude,longitude,geocoding_method,geocoding_confidence,identified_brands,brand_confidence,num_brands,primary_brand,max_confidence,brand_tier
"P.N. Composite Limited Ambagh, Konabari Gazipur Dhaka 2 9298165 1 18 No No All 2643 4",,Accord 2013,2025-09-22T21:15:09.255098,22,,24.0167,90.3833,exact_location,high,[],[],0,,0.0,unidentified
"Pabna knit Design ltd. Plot2, Road4, BlockB, Section02 Dhaka Dhaka 1216 2 9001514 16, Yes Yes 16, 23, floor","Pacific Enterprise 4113A,zikatala Dhaka Dhaka 1209 2 9134184 15 Yes Yes 1,2,3,4 20 1",Accord 2013,2025-09-22T21:15:09.255130,22,,23.8103,90.4125,district,low,['PVH'],[1.0],1,PVH,1.0,other_brands
"Pacific Jeans Ltd Plot14 19, Sector05, CEPZ, Chittagong Chittagong Chittagong 4223 31 740006 3 16,26,36 No No 16,26,36 9500 4",,Accord 2013,2025-09-22T21:15:09.255233,22,,23.8103,90.4125,default,very_low,[],[],0,,0.0,unidentified
"Pacific Sweaters Ltd. 2316, BB Road. Chashara CA, Narayanganj Narayanganj Dhaka 2 7630906 No No 2",,Accord 2013,2025-09-22T21:15:09.255263,22,,23.8103,90.4125,default,very_low,['C&A'],[1.0],1,C&A,1.0,value_fast_fashion
"Paddocks Jeans Ltd. Plot  5960, Dhaka Export Processing Zone","DEPZ , Ganakbari , SavarDhaka Dhaka 1349 2 7742849 1 13 No No 2350 3",Accord 2013,2025-09-22T21:15:09.255289,22,,23.862437192002762,90.27111365750116,area_match,medium,['PVH'],[1.0],1,PVH,1.0,other_brands
"PADMA SATEL ARAB FASHION LTD Luna Complex 6th Floor,Joybangla","Road ,Khailkur ,Brobari , GazipurGazipur Dhaka 1704 2 9292226 18, No Yes 17,8 750 1 Padma Sweaters 1B Darus Salam Road, Section 1D h a k a D h a k a No No 2",Accord 2013,2025-09-22T21:15:09.255347,22,,24.01720649622634,90.38108389686279,area_match,medium,[],[],0,,0.0,unidentified
"Padma Wears Ltd. Plot  25, Sector  1, Road 4, CEPZ, Chittagong Chittagong Chittagong 2 740288 1 4 No No No 950 2",,Accord 2013,2025-09-22T21:15:09.255454,22,,23.8103,90.4125,default,very_low,[],[],0,,0.0,unidentified
"Palmal knitwear Factory Ltd. Hijolhati, Baroipara, Kaliakoir Gazipur Dhaka 1700 1714099491 3 17 21 31 No No 2486 3",,Accord 2013,2025-09-22T21:15:09.255487,22,,23.8103,90.4125,default,very_low,[],[],0,,0.0,unidentified
"Palmal Knitwear Factory Ltd. Unit2 KABIRPUR, ASHULIA, SAVAR, DHAKA., Gazipur Gazipur Dhaka 1700 1730068494 3 14, 26, 33 No No NA 1800 1",,Accord 2013,2025-09-22T21:15:09.255528,22,,23.8103,90.4125,default,very_low,[],[],0,,0.0,unidentified
"PAN PACIFIC SWEATERS LTD Pretty Square , South Salna, Joybedpur, Gazipur Gazipur Dhaka 1706 2 8911078 1 16 No Yes 12 920 1",,Accord 2013,2025-09-22T21:15:09.255564,22,,23.8103,90.4125,default,very_low,[],[],0,,0.0,unidentified
